,src,dest,total_voltage
421,29189,29099,690.0
422,21089,39145,333.97699408284024
423,05115,05149,161.0
424,21169,47111,161.0
425,12057,12103,859.0
426,51770,51775,362.73985363979995
427,12007,12031,230.0
428,01061,12059,460.0
429,72093,72125,38.0
430,39025,39131,690.0
431,39115,39119,276.0
432,21147,21235,138.0
433,17177,17201,276.0
434,17097,55059,483.0
435,29063,29049,230.0
436,54039,54043,138.0
437,39137,39003,276.0
438,25013,25015,345.0
439,24005,24025,460.0
440,27123,27037,230.0
441,05007,29077,345.0
442,51191,51520,66.7628595569597
443,21195,51051,207.0
444,37025,37035,460.0
445,22011,22115,169.0
446,45091,37119,800.0
447,36029,36063,1035.0
448,55085,55125,115.0
449,17189,17081,483.0
450,25017,33011,345.0
451,18129,21233,345.0
452,22023,22019,135.7628595569597
453,17031,17043,276.0
454,01051,01123,230.0
455,19113,19019,345.0
456,18031,18137,575.0
457,12109,12031,368.0
458,01095,01043,287.97699408284024
459,18053,18095,207.0
460,20191,20035,376.0
461,21209,21067,138.0
462,27163,27049,345.0
463,37017,37047,859.0
464,45077,45073,1910.0
465,01015,01019,115.0
466,51059,51013,230.0
467,25003,25011,411.7628595569597
468,25005,25021,744.0
469,22079,22039,598.0
470,27163,55035,345.0
471,36015,36007,345.0
472,20089,20183,115.0
473,46117,46055,115.0
474,47163,47179,586.9769940828403
475,55111,55021,276.0
476,37133,37141,399.0
477,21183,21059,414.0
478,34013,34027,690.0
479,12073,12077,69.0
480,17119,17163,759.0
481,45003,45011,683.0
482,36091,36093,550.7168477226402
483,54055,51071,138.0
484,36091,36115,519.7628595569597
485,22021,22059,115.0
486,18035,18095,138.0
487,01087,01011,230.0
488,18159,18095,69.0
489,18159,18095,69.0
490,54035,54053,169.0
491,28029,28085,115.0
492,23023,23005,399.0
493,05057,05091,138.0
494,19113,19055,161.0
495,37109,37119,593.5257191139194
496,18033,18113,207.0
497,19067,19033,161.0
498,54005,54081,794.9309822485206
499,51181,51650,230.0
500,40145,40101,414.0
501,51179,51061,115.0
502,29223,29179,230.0
503,36033,36089,575.0
504,51061,51109,500.0
505,21131,21095,161.0
506,29173,29007,69.0
507,51159,51193,460.0
508,39103,39153,552.0
509,13257,13119,115.0
510,29029,29015,169.0
511,55017,55107,115.0
512,29095,29083,322.0
513,51121,51155,445.0
514,42059,54061,1264.9769940828403
515,39055,39085,1380.0
516,23031,33015,1150.0
517,42067,42061,115.0
518,36107,42015,115.0
519,51067,51770,276.0
520,34025,34029,629.0
521,40143,40113,966.0
522,13065,13101,115.0
523,20149,20061,115.0
524,36091,36115,399.0
525,29023,29181,161.0
526,28161,28107,230.0
527,13079,13225,230.0
528,18003,18113,276.0
529,20179,20039,34.5
530,37139,37143,230.0
531,40089,40121,345.0
532,29095,29047,644.0
533,13139,13135,356.97699408284024
534,22005,22063,296.7628595569597
535,29139,29007,207.0
536,29147,29003,135.7628595569597
537,20131,31147,161.0
538,13207,13035,230.0
539,20087,20005,138.0
540,51085,51065,500.0
541,36055,36063,690.0
542,47109,47071,322.0
543,13037,13273,169.0
544,36019,36033,181.7628595569597
545,28121,28123,230.0
546,47157,47047,483.0
547,19041,19149,161.0
548,36109,36023,345.0
549,55025,55021,621.0
550,29039,29185,161.0
551,29143,47095,161.0
552,45019,45029,690.0
553,28113,28147,230.0
554,20177,20005,69.0
555,01029,13045,115.0
556,42099,42043,500.0
557,38021,38081,299.0
558,20085,20177,115.0
559,21099,21085,138.0
560,37037,37125,345.0
561,42003,39081,345.0
562,55039,55139,345.0
563,37191,37061,181.7628595569597
564,13189,13133,115.0
565,37057,37067,400.0
566,05119,05085,399.0
567,51085,51033,230.0
568,37049,37137,230.0
569,34023,34039,568.0
570,29510,17163,828.0
571,12039,13087,69.0
572,05029,05115,161.0
573,26009,26029,207.0
574,24005,24027,575.0
575,26115,26163,2190.0
576,27159,27035,230.0
577,26137,26119,138.0
578,27001,27017,184.0
579,42049,42123,345.0
580,39013,54069,276.0
581,29007,29127,345.0
582,54033,54073,500.0
583,13095,13321,115.0
584,18003,18069,828.0
585,54099,54011,345.0
586,13121,13089,805.0
587,55133,55079,483.0
588,21179,21167,138.0
589,18003,18001,207.0
590,26055,26089,138.0
591,47031,47177,161.0
592,21089,21019,276.0
593,13121,13077,805.0
594,47163,51173,500.0
595,44009,44003,568.0
596,54033,54091,276.0
597,01011,01109,115.0
598,42129,42125,138.0
599,33015,33011,230.0
600,42079,42093,460.0
601,40143,40113,690.0
602,05061,05109,138.0
603,21191,21037,69.0
604,42101,42017,368.0
605,21065,21151,230.0
606,18141,26021,483.0
607,25017,25027,1055.7628595569597
608,37181,37077,230.0
609,13033,13163,284.0
610,47003,47051,161.0
611,01039,01053,230.0
612,09005,36027,345.0
613,38069,38049,248.52571911391942
614,17063,17099,345.0
615,27141,27003,897.0
616,39125,18003,138.0
617,38069,38079,345.0
618,38005,38069,230.0
619,40013,40095,138.0
620,51035,51640,126.97699408284024
621,18129,21101,138.0
622,37025,37167,200.0
623,51143,51590,1054.5257191139194
624,51005,51580,414.0
625,29199,29103,69.0
626,27021,27057,580.7628595569597
627,21111,18043,759.0
628,72021,72091,230.0
629,21195,54059,276.0
630,36043,36077,66.7628595569597
631,13229,13025,126.97699408284024
632,47107,47011,126.97699408284024
633,51093,51800,345.0
634,24021,51107,500.0
635,42071,42011,138.0
636,37179,37119,769.0
637,26097,26047,138.0
638,20077,20007,307.0
639,26049,26157,1173.0
640,20135,20165,115.0
641,51161,51775,698.9539881656805
642,22047,22121,1135.0
643,28105,28019,161.0
644,12105,12103,115.0
645,51057,51127,230.0
646,37037,37151,296.7628595569597
647,51036,51181,500.0
648,05087,05143,135.7628595569597
649,13107,13043,115.0
650,21085,21061,69.0
651,40145,40131,483.0
652,21007,21145,230.0
653,37159,37081,500.0
654,37089,37149,253.95398816568047
655,18043,18019,828.0
656,42059,42125,307.0
657,17197,17099,690.0
658,21207,21169,161.0
659,54073,54053,765.0
660,20065,20179,34.5
661,18067,18157,230.0
662,18091,18127,759.0
663,18097,18059,368.0
664,01051,01081,115.0
665,21059,21149,69.0
666,42121,42039,115.0
667,01055,01015,241.97699408284024
668,29167,29077,330.0
669,28109,28045,115.0
670,26023,18151,138.0
671,42025,42077,138.0
672,47019,47163,69.0
673,37081,37157,200.0
674,13273,13177,66.7628595569597
675,17121,17051,138.0
676,19169,19015,483.0
677,09007,09003,460.0
678,54049,54061,402.97699408284024
679,13135,13013,690.0
680,29175,29115,230.0
681,05107,28027,169.0
682,29023,29223,161.0
683,22095,22089,629.0206000276511
684,36015,36101,629.0
685,39025,21161,345.0
686,01125,01007,115.0
687,12023,12001,69.0
688,28101,28061,66.7628595569597
689,19005,27045,161.0
690,37173,37113,322.0
691,42091,42045,138.0
692,23031,23005,1319.0
693,51091,54075,66.7628595569597
694,21079,21137,69.0
695,42003,42129,828.0
696,47019,47163,322.0
697,37063,37135,1091.9539881656806
698,18125,18081,345.0
699,39147,39117,345.0
700,05061,05057,207.0
701,40027,40109,207.0
702,27095,27009,299.0
703,39025,39165,345.0
704,39151,39133,345.0
705,51161,51023,621.0
706,36017,36007,169.0
707,27025,55095,161.0
708,13251,13165,115.0
709,39001,39027,345.0
710,05061,05081,138.0
711,05007,05143,368.0
712,45019,45035,690.0
713,47165,47189,805.0
714,01115,01121,345.0
715,19163,19139,506.0
716,12077,12045,230.0
717,17099,17155,276.0
718,51680,51009,464.97699408284024
719,40133,40121,345.0
720,39061,39017,1749.0
721,39019,39151,276.0
722,12127,12083,230.0
723,27013,27103,391.0
724,12009,12117,115.0
725,29091,29153,69.0
726,13057,13227,460.0
727,22057,22007,169.0
728,40137,40049,207.0
729,36065,36077,66.7628595569597
730,42013,42021,575.0
731,72045,72149,115.0
732,72047,72101,115.0
733,54061,54091,638.0
734,26081,26139,552.0
735,47163,51191,445.0
736,33015,33017,115.0
737,26061,26131,69.0
738,18085,18039,138.0
739,51005,54025,138.0
740,21047,21177,391.0
741,23001,23017,115.0
742,39099,39151,414.0
743,27127,27083,138.0
744,28095,28025,161.0
745,42019,54029,500.0
746,55133,55079,621.0
747,13121,13067,2990.0
748,13157,13013,575.0
749,33015,33017,115.0
750,17029,17045,138.0
751,51005,51580,414.0
752,05029,05115,661.0
753,01035,01013,230.0
754,42051,42129,690.0
755,13103,45053,586.9769940828403
756,12111,12085,868.0
757,55039,55027,207.0
758,72021,72127,230.0
759,45055,45031,230.0
760,17077,17199,230.0
761,13139,13135,960.0
762,55089,55131,138.0
763,12039,12073,238.0
764,55039,55027,345.0
765,13145,13263,460.0
766,55087,55115,483.0
767,39041,39049,828.0
768,21013,21199,690.0
769,22067,22083,230.0
770,01039,01031,514.0
771,17031,18089,852.0
772,22123,22083,169.0
773,45091,37071,916.9769940828403
774,19109,19091,161.0
775,29075,29147,161.0
776,26159,26027,445.0
777,51041,51087,575.0
778,28037,28005,115.0
779,51105,51195,230.0
780,39105,54053,483.0
781,29027,29151,414.0
782,46111,46035,250.7628595569597
783,46055,46065,230.0
784,12107,12083,399.0
785,21083,21035,230.0
786,13135,13117,460.0
787,50017,50023,149.5
788,27137,27017,230.0
789,17107,17115,966.0
790,21079,21199,345.0
791,24045,24019,138.0
792,42011,42075,238.0
793,21205,21175,69.0
794,34007,34015,238.0
795,18051,18093,345.0
796,13215,13053,193.73985363979995
797,47107,47011,644.0
798,42133,42043,1420.0
799,18107,18167,230.0
800,20045,20139,230.0
801,40013,40069,276.0
802,39105,54035,169.0
803,13185,12121,345.0
804,34007,34033,500.0
805,40109,40083,276.0
806,51015,51165,805.0
807,26115,39173,345.0
808,45047,45059,66.7628595569597
809,13245,13073,690.0
810,21041,21073,483.0
811,12095,12097,1058.0
812,26043,55083,345.0
813,51093,51181,230.0
814,31121,31079,115.0
815,54045,54109,138.0
816,37175,37089,399.0
817,24043,54003,890.0
818,51003,51109,230.0
819,55015,55087,759.0
820,18043,18025,138.0
821,40113,40119,138.0
822,18083,18051,345.0
823,19047,19149,161.0
824,37163,37061,350.7628595569597
825,46005,46115,184.0
826,40061,40091,161.0
827,27075,27137,230.0
828,29105,29169,161.0
829,17197,17093,966.0
830,05009,05129,161.0
831,13107,13043,115.0
832,22099,22097,169.0
833,45077,45073,1059.0
834,45071,45087,200.0
835,55005,55017,230.0
836,47073,47163,569.0
837,51191,51173,126.97699408284024
838,46127,19149,299.0
839,26137,26009,138.0
840,28121,28089,230.0
841,31123,31013,115.0
842,13219,13059,690.0
843,01117,01073,816.9769940828403
844,38101,38061,399.0
845,46005,46017,230.0
846,72057,72123,460.0
847,51159,51193,230.0
848,36117,36055,690.0
849,29057,29039,322.0
850,21151,21049,345.0
851,13135,13247,230.0
852,39067,39019,507.0
853,01113,13215,345.0
854,42037,42107,230.0
855,44007,25021,345.0
856,45017,45079,115.0
857,13277,13155,115.0
858,12131,01039,115.0
859,37049,37031,345.0
860,22047,22063,730.0
861,21117,21037,345.0
862,40131,40035,138.0
863,13137,13011,230.0
864,21099,21155,138.0
865,13271,13161,126.97699408284024
866,13087,12063,345.0
867,19035,19161,161.0
868,51069,54027,138.0
869,51089,51590,126.97699408284024
870,18021,18167,368.0
871,19049,29005,345.0
872,45015,45035,460.0
873,54095,54073,276.0
874,36105,36111,138.0
875,13171,13293,230.0
876,37119,37071,2133.9539881656806
877,23005,23017,460.0
878,24033,24031,920.0
879,13167,13175,230.0
880,55071,55087,345.0
881,13213,13129,115.0
882,19099,19153,322.0
883,23031,33017,115.0
884,27119,27007,230.0
885,36027,36021,345.0
886,20159,20155,230.0
887,47165,47189,483.0
888,29189,29510,414.0
889,40037,40119,207.0
890,20091,20121,161.0
891,34035,34027,460.0
892,29047,29165,391.0
893,05019,05059,345.0
894,12107,12083,356.97699408284024
895,34041,34019,399.0
896,05133,40089,138.0
897,25017,33011,575.0
898,27137,27017,184.0
899,55115,55009,138.0
900,36091,36113,580.7628595569597
901,20065,20195,34.5
902,42063,42021,744.0
903,12097,12105,529.0
904,45061,45031,460.0
905,28067,28091,161.0
906,36011,36109,284.0
907,13025,13299,169.0
908,12115,12081,859.0
909,31111,31101,701.9769940828403
910,47061,47051,161.0
911,39163,39079,138.0
912,01125,01007,460.0
913,12071,12099,230.0
914,39089,39045,483.0
915,39057,39113,621.0
916,51187,51061,500.0
917,29047,29165,322.0
918,39025,21037,790.0
919,18129,18163,414.0
920,12099,12085,1129.0
921,22033,22047,598.0
922,01113,13215,115.0
923,12057,12105,823.5257191139194
924,42071,42075,230.0
925,22001,22053,345.0
926,28013,28161,161.0
927,38043,38047,115.0
928,42003,42007,897.0
929,01017,01123,296.7628595569597
930,19167,19119,230.0
931,21151,21079,69.0
932,46107,46119,230.0
933,51161,51770,402.97699408284024
934,34035,34037,500.0
935,21227,21009,230.0
936,24025,42001,500.0
937,55023,55123,391.0
938,45081,45037,399.0
939,17043,17103,345.0
940,37145,37033,230.0
941,20169,20041,230.0
942,40143,40037,828.0
943,28153,28041,241.97699408284024
944,37097,37171,230.0
945,39007,39085,414.0
946,29069,29155,161.0
947,13121,13089,1035.0
948,13189,13301,483.95398816568047
949,51143,51031,230.0
950,29227,29075,69.0
951,21085,21027,138.0
952,21145,21157,661.0
953,18141,18039,621.0
954,12107,12035,460.0
955,18097,18063,414.0
956,18027,18083,230.0
957,13121,13117,460.0
958,47073,51105,500.0
959,28115,28071,161.0
960,31145,31063,184.0
961,23015,23011,115.0
962,47165,47037,230.0
963,39165,39113,207.0
964,51019,51009,181.7628595569597
965,54069,54051,138.0
966,17183,17019,138.0
967,21235,21199,69.0
968,42127,42069,537.0
969,27171,27141,598.0
970,40027,40109,483.0
971,36039,36111,598.0
972,42079,42025,368.0
973,29069,05021,460.0
974,17049,17079,138.0
975,27053,27037,115.0
976,01023,01119,253.95398816568047
977,72113,72133,115.0
978,24001,54057,1399.9769940828403
979,18077,18019,276.0
980,21101,21233,1012.0
981,26005,26139,402.97699408284024
982,23031,23005,629.0
983,39019,54009,138.0
984,45029,45035,299.0
985,29187,29179,276.0
986,18105,18005,230.0
987,36105,36071,69.0
988,45009,45075,365.7628595569597
989,21075,21105,276.0
990,55073,55097,460.0
991,37083,37131,575.0
992,22033,22063,490.50271319675966
993,47021,47043,230.0
994,47073,47093,483.0
995,28127,28031,115.0
996,42107,42109,230.0
997,26041,26153,414.0
998,55123,27045,161.0
999,20205,20099,276.0
1000,13103,13051,744.0
1001,27101,27117,184.0
1002,13089,13067,230.0
1003,27065,27115,69.0
1004,13319,13169,115.0
1005,47065,47011,888.7628595569597
1006,39063,39003,621.0
1007,54021,54087,138.0
1008,39033,39139,276.0
1009,37057,37081,400.0
1010,12099,12011,1598.0
1011,54033,54041,138.0
1012,54045,54059,322.0
1013,54043,54099,138.0
1014,47009,37173,322.0
1015,18067,18053,138.0
1016,25001,25023,1319.0
1017,26027,18141,345.0
1018,13151,13063,345.0
1019,22037,22063,230.0
1020,50003,36083,115.0
1021,26135,26143,138.0
1022,39065,39003,138.0
1023,38001,38011,184.0
1024,36067,36055,690.0
1025,21101,21059,138.0
1026,29105,29059,69.0
1027,18019,21223,345.0
1028,37117,37147,230.0
1029,51069,54037,138.0
1030,13261,13193,345.0
1031,36001,36083,690.0
1032,37071,37045,622.9539881656805
1033,20015,20205,276.0
1034,42005,42099,500.0
1035,05045,05023,161.0
1036,26041,26103,276.0
1037,13245,13163,230.0
1038,21097,21191,69.0
1039,21133,21095,295.97699408284024
1040,21097,21209,69.0
1041,29035,29179,138.0
1042,26051,26011,138.0
1043,28047,28059,345.0
1044,21097,21161,138.0
1045,22049,22013,126.97699408284024
1046,31181,31129,184.0
1047,17007,17201,966.0
1048,19081,19109,161.0
1049,19149,31043,230.0
1050,01033,01079,448.97699408284024
1051,42017,42077,368.0
1052,38003,38093,115.0
1053,45039,45079,828.0
1054,12013,12005,230.0
1055,25013,25003,115.0
1056,29117,29115,161.0
1057,21233,21059,161.0
1058,39119,39127,414.0
1059,01095,01071,161.0
1060,17081,17025,345.0
1061,27057,27007,284.0
1062,42011,42077,460.0
1063,45071,45059,369.0
1064,42111,42009,169.0
1065,51810,51710,568.0
1066,17197,17043,1518.0
1067,21239,21113,69.0
1068,39159,39003,345.0
1069,18177,18161,276.0
1070,55039,55131,138.0
1071,40013,40023,138.0
1072,21003,47111,161.0
1073,45057,37179,100.0
1074,37081,37067,660.0
1075,40145,40143,552.0
1076,36119,36079,920.0
1077,05129,05149,161.0
1078,47143,47065,500.0
1079,28021,28037,500.0
1080,01001,01101,845.0
1081,29027,29175,345.0
1082,55025,55055,276.0
1083,40099,40049,207.0
1084,05121,29181,161.0
1085,40079,40061,161.0
1086,36077,36017,133.5257191139194
1087,25025,25009,115.0
1088,36025,36039,115.0
1089,17031,18089,1749.0
1090,27163,27123,1082.0
1091,05049,29091,69.0
1092,40143,40111,345.0
1093,29113,29183,483.0
1094,24011,10003,460.0
1095,42005,42031,276.0
1096,01027,01121,66.7628595569597
1097,47021,47037,161.0
1098,01005,01109,230.0
1099,20173,20155,345.0
1100,36091,36093,241.97699408284024
1101,51041,51670,230.0
1102,27109,27039,399.0
1103,01071,47115,661.0
1104,28161,28135,230.0
1105,39057,39109,483.0
